Study	Method	Genus	Species	Calibration material	Wood porosity	Diameter	k	SFD	Granier
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0411096	2.4298596	0.842584769
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0378173	3.2136876	0.760302626
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0452179	3.4096428	0.947406917
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0402824	3.76236	0.821762734
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0517964	3.5272152	1.119830367
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0624851	4.115088	1.410750769
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0583731	4.154292	1.29735063
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0600183	4.036716	1.342507389
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0476807	4.585392	1.011321478
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0559039	4.742136	1.230129108
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.06166	4.859712	1.387854046
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0591915	5.251644	1.31977749
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.119225	5.173236	3.125054867
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.135672	5.21244	3.663911136
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.133201	6.23142	3.581938925
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.282845	13.795344	9.051189819
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.286134	13.91292	9.180925747
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.283656	16.891452	9.083147833
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.390551	20.301084	13.46495101
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0945529	5.36922	2.349120024
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.120868	5.64354	3.178152384
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.131553	7.054416	3.527463213
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.205555	10.189728	6.110319026
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.208021	10.42488	6.200681161
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.208019	11.208708	6.200607774
